mcg_sicdescription,mcg_naicscode,mcg_industrysector_displayname,mcg_industry_displayname,mcg_name,mcg_subsectortext0,mcg_description
Ice Cream And Frozen Deserts,311520,Food & Beverage,Consumer Products,311520 - Ice Cream and Frozen Dessert Manufacturing,Food Manufacturing,Ice Cream and Frozen Dessert Manufacturing
Meat Packing Plants,311611,Food & Beverage,Consumer Products,311611 - Animal (except Poultry) Slaughtering,Food Manufacturing,Animal (except Poultry) Slaughtering
Sausages And Other Prepared Meats,311612,Food & Beverage,Consumer Products,311612 - Meat Processed from Carcasses,Food Manufacturing,Meat Processed from Carcasses
Animal And Marine Fats And Oils,311613,Food & Beverage,Consumer Products,311613 - Rendering and Meat Byproduct Processing,Food Manufacturing,Rendering and Meat Byproduct Processing
Poultry Slaughtering And Processing,311615,Food & Beverage,Consumer Products,311615 - Poultry Processing,Food Manufacturing,Poultry Processing
Canned And Cured Fish And Seafoods,311710,Food & Beverage,Consumer Products,311710 - Seafood Product Preparation and Packaging,Food Manufacturing,Seafood Product Preparation and Packaging
Retail Bakeries,311811,Retail & Restaurants,Consumer Products,311811 - Retail Bakeries,Retail Food & Drug,Retail Bakeries
"Bread, Cake, And Related Products",311812,Food & Beverage,Consumer Products,311812 - Commercial Bakeries,Food Manufacturing,Commercial Bakeries
"Frozen Bakery Products, Except Bread",311813,Food & Beverage,Consumer Products,"311813 - Frozen Cakes, Pies, and Other Pastries Manufacturing",Food Manufacturing,"Frozen Cakes, Pies, and Other Pastries Manufacturing"
Cookies And Crackers,311821,Food & Beverage,Consumer Products,311821 - Cookie and Cracker Manufacturing,Food Manufacturing,Cookie and Cracker Manufacturing
Prepared Flour Mixes And Doughs,311824,Food & Beverage,Consumer Products,"311824 - Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",Food Manufacturing,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
"Food Preparations, Nec",311830,Food & Beverage,Consumer Products,311830 - Tortilla Manufacturing,Food Manufacturing,Tortilla Manufacturing
Salted And Roasted Nuts And Seeds,311911,Food & Beverage,Consumer Products,311911 - Roasted Nuts and Peanut Butter Manufacturing,Food Manufacturing,Roasted Nuts and Peanut Butter Manufacturing
Potato Chips And Similar Snacks,311919,Food & Beverage,Consumer Products,311919 - Other Snack Food Manufacturing,Food Manufacturing,Other Snack Food Manufacturing
Roasted Coffee,311920,Food & Beverage,Consumer Products,311920 - Coffee and Tea Manufacturing,Food Manufacturing,Coffee and Tea Manufacturing
"Flavoring Extracts And Syrups, Nec",311930,Food & Beverage,Consumer Products,311930 - Flavoring Syrup and Concentrate Manufacturing,Food Manufacturing,Flavoring Syrup and Concentrate Manufacturing
"Pickles, Sauces, And Salad Dressings",311941,Food & Beverage,Consumer Products,"311941 - Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",Food Manufacturing,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
"Flavoring Extracts And Syrups, Nec",311942,Food & Beverage,Consumer Products,311942 - Spice and Extract Manufacturing,Food Manufacturing,Spice and Extract Manufacturing
"Food Preparations, Nec",311991,Food & Beverage,Consumer Products,311991 - Perishable Prepared Food Manufacturing,Food Manufacturing,Perishable Prepared Food Manufacturing
"Food Preparations, Nec",311999,Food & Beverage,Consumer Products,311999 - All Other Miscellaneous Food Manufacturing,Food Manufacturing,All Other Miscellaneous Food Manufacturing
Bottled And Canned Soft Drinks,312111,Food & Beverage,Consumer Products,312111 - Soft Drink Manufacturing,Food Manufacturing,Soft Drink Manufacturing
Bottled And Canned Soft Drinks,312112,Food & Beverage,Consumer Products,312112 - Bottled Water Manufacturing,Food Manufacturing,Bottled Water Manufacturing
Manufactured Ice,312113,Food & Beverage,Consumer Products,312113 - Ice Manufacturing,Food Manufacturing,Ice Manufacturing
Malt Beverages,312120,Food & Beverage,Consumer Products,312120 - Breweries,Food Manufacturing,Breweries
"Wines, Brandy, And Brandy Spirits",312130,Food & Beverage,Consumer Products,312130 - Wineries,Food Manufacturing,Wineries
Distilled And Blended Liquors,312140,Food & Beverage,Consumer Products,312140 - Distilleries,Food Manufacturing,Distilleries
Cigarettes,312230,Food & Beverage,Consumer Products,312230 - Tobacco Manufacturing,Food Manufacturing,Tobacco Manufacturing
Yarn Spinning Mills,313110,Consumer Goods,Consumer Products,"313110 - Fiber, Yarn, and Thread Mills",Fashion,"Fiber, Yarn, and Thread Mills"
"Broadwoven Fabric Mills, Cotton",313210,Consumer Goods,Consumer Products,313210 - Broadwoven Fabric Mills,Fashion,Broadwoven Fabric Mills
Narrow Fabric Mills,313220,Consumer Goods,Consumer Products,313220 - Narrow Fabric Mills and Schiffli Machine Embroidery,Fashion,Narrow Fabric Mills and Schiffli Machine Embroidery
Nonwoven Fabrics,313230,Consumer Goods,Consumer Products,313230 - Nonwoven Fabric Mills,Fashion,Nonwoven Fabric Mills
Weft Knit Fabric Mills,313240,Consumer Goods,Consumer Products,313240 - Knit Fabric Mills,Fashion,Knit Fabric Mills
"Finishing Plants, Cotton",313310,Consumer Goods,Consumer Products,313310 - Textile and Fabric Finishing Mills,Fashion,Textile and Fabric Finishing Mills
"Coated Fabrics, Not Rubberized",313320,Consumer Goods,Consumer Products,313320 - Fabric Coating Mills,Fashion,Fabric Coating Mills
Carpets And Rugs,314110,Consumer Goods,Consumer Products,314110 - Carpet and Rug Mills,Home & Leisure,Carpet and Rug Mills
Curtains And Draperies,314120,Consumer Goods,Consumer Products,314120 - Curtain and Linen Mills,Home & Leisure,Curtain and Linen Mills
Textile Bags,314910,Consumer Goods,Consumer Products,314910 - Textile Bag and Canvas Mills,Fashion,Textile Bag and Canvas Mills
Tire Cord And Fabrics,314994,Consumer Goods,Consumer Products,"314994 - Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",Fashion,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
Pleating And Stitching,314999,Consumer Goods,Consumer Products,314999 - All Other Miscellaneous Textile Product Mills,Fashion,All Other Miscellaneous Textile Product Mills
"Women's Hosiery, Except Socks",315110,Consumer Goods,Consumer Products,315110 - Hosiery and Sock Mills,Fashion,Hosiery and Sock Mills
Knit Outerwear Mills,315190,Consumer Goods,Consumer Products,315190 - Other Apparel Knitting Mills,Fashion,Other Apparel Knitting Mills
Men's And Boy's Suits And Coats,315210,Consumer Goods,Consumer Products,315210 - Cut and Sew Apparel Contractors,Fashion,Cut and Sew Apparel Contractors
Men's And Boy's Suits And Coats,315220,Consumer Goods,Consumer Products,315220 - Men’s and Boys’ Cut and Sew Apparel Manufacturing,Fashion,Men’s and Boys’ Cut and Sew Apparel Manufacturing
Women's And Misses' Blouses And Shirts,315240,Consumer Goods,Consumer Products,"315240 - Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing",Fashion,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
Fur Goods,315280,Consumer Goods,Consumer Products,315280 - Other Cut and Sew Apparel Manufacturing,Fashion,Other Cut and Sew Apparel Manufacturing
Fabric Dress And Work Gloves,315990,Consumer Goods,Consumer Products,315990 - Apparel Accessories and Other Apparel Manufacturing,Fashion,Apparel Accessories and Other Apparel Manufacturing
Leather Tanning And Finishing,316110,Consumer Goods,Consumer Products,316110 - Leather and Hide Tanning and Finishing,Fashion,Leather and Hide Tanning and Finishing
House Slippers,316210,Consumer Goods,Consumer Products,316210 - Footwear Manufacturing,Fashion,Footwear Manufacturing
Women's Handbags And Purses,316992,Consumer Goods,Consumer Products,316992 - Women's Handbag and Purse Manufacturing,Fashion,Women's Handbag and Purse Manufacturing
Footwear Cut Stock,316998,Consumer Goods,Consumer Products,316998 - All Other Leather Good and Allied Product Manufacturing,Fashion,All Other Leather Good and Allied Product Manufacturing
"Sawmills And Planing Mills, General",321113,Manufacturing,Industrials,321113 - Sawmills,Other Industrials,Sawmills
Wood Preserving,321114,Manufacturing,Industrials,321114 - Wood Preservation,Other Industrials,Wood Preservation
Hardwood Veneer And Plywood,321211,Manufacturing,Industrials,321211 - Hardwood Veneer and Plywood Manufacturing,Other Industrials,Hardwood Veneer and Plywood Manufacturing
Softwood Veneer And Plywood,321212,Manufacturing,Industrials,321212 - Softwood Veneer and Plywood Manufacturing,Other Industrials,Softwood Veneer and Plywood Manufacturing
"Structural Wood Members, Nec",321213,Manufacturing,Industrials,321213 - Engineered Wood Member (except Truss) Manufacturing,Other Industrials,Engineered Wood Member (except Truss) Manufacturing
"Structural Wood Members, Nec",321214,Manufacturing,Industrials,321214 - Truss Manufacturing,Other Industrials,Truss Manufacturing
Reconstituted Wood Products,321219,Manufacturing,Industrials,321219 - Reconstituted Wood Product Manufacturing,Other Industrials,Reconstituted Wood Product Manufacturing
Millwork,321911,Consumer Goods,Consumer Products,321911 - Wood Window and Door Manufacturing,Home & Leisure,Wood Window and Door Manufacturing
"Sawmills And Planing Mills, General",321912,Manufacturing,Industrials,"321912 - Cut Stock, Resawing Lumber, and Planing",Other Industrials,"Cut Stock, Resawing Lumber, and Planing"
Hardwood Dimension And Flooring Mills,321918,Manufacturing,Industrials,321918 - Other Millwork (including Flooring),Other Industrials,Other Millwork (including Flooring)
Nailed Wood Boxes And Shook,321920,Manufacturing,Industrials,321920 - Wood Container and Pallet Manufacturing,Other Industrials,Wood Container and Pallet Manufacturing
Mobile Homes,321991,Manufacturing,Industrials,321991 - Manufactured Home (Mobile Home) Manufacturing,Other Industrials,Manufactured Home (Mobile Home) Manufacturing
